"Comunidad";"Provincia";"N_Provincia";"N_Estacion";"Estacion";"Altitud";"UTMX";"UTMY";"Huso";"Latitud";"Longitud";"SignoLongitud"
"Navarra";"Navarra";31;109;"Corella";392;596016;4663472;30;;;
"Navarra";"Navarra";31;1;"Tudela";258;618468;4658470;30;;;
"Navarra";"Navarra";31;2;"Fitero";450;595987;4655954;30;;;
"Navarra";"Navarra";31;3;"Cascante";330;605832;4654795;30;;;
"Navarra";"Navarra";31;4;"Ablitas";338;612462;4650683;30;;;
"Navarra";"Navarra";31;15;"Los Arcos";419;567173;4710398;30;;;
"Navarra";"Navarra";31;16;"Sesma";438;572005;4703134;30;;;
"Comunidad Valenciana";"Alicante";3;17;"Agost";337;;;;" 38°26'28.21""";"  0°38'22.37""";-0
"Comunidad Valenciana";"Alicante";3;10;"Almoradí";7;;;;" 38° 6'34.65""";"  0°47'31.21""";-0
"Comunidad Valenciana";"Alicante";3;15;"Altea";83;;;;" 38°36'1.14""";"  0° 2'57.02""";-0
"Comunidad Valenciana";"Alicante";3;102;"Callosa d`en Sarrià";259;;;;" 38°39'4.77""";"  0° 7'21.12""";-0
"Comunidad Valenciana";"Alicante";3;2;"Camp de Mirra";601;;;;" 38°41'12.15""";"  0°46'37.34""";-0
"Comunidad Valenciana";"Alicante";3;16;"Castalla";680;;;;" 38°35'42.68""";"  0°40'20.10""";-0
"Comunidad Valenciana";"Alicante";3;13;"Catral";5;;;;" 38° 9'39.41""";"  0°48'5.40""";-0
"Comunidad Valenciana";"Alicante";3;9;"Crevillente";122;;;;" 38°14'49.32""";"  0°48'12.57""";-0
"Comunidad Valenciana";"Alicante";3;5;"Dénia Gata";13;;;;" 38°50'25.40""";"  0° 6'30.99""";0
"Comunidad Valenciana";"Alicante";3;101;"Elx EEA";88;;;;" 38°16'1.83""";"  0°41'42.79""";-0
"Comunidad Valenciana";"Alicante";3;8;"Monforte del Cid";222;;;;" 38°22'45.24""";"  0°43'45.25""";-0
"Comunidad Valenciana";"Alicante";3;7;"Novelda";245;;;;" 38°23'7.09""";"  0°45'55.39""";-0
"Comunidad Valenciana";"Alicante";3;4;"Ondara";36;;;;"38°49'33.86""";"  0° 0'57.25""";0
"Comunidad Valenciana";"Alicante";3;14;"Orihuela";22;;;;" 38° 5'2.22""";"  0°56'41.22""";-0
"Comunidad Valenciana";"Alicante";3;11;"Orihuela la Murada";85;;;;" 38°10'23.38""";"  0°57'53.06""";-0
"Comunidad Valenciana";"Alicante";3;12;"Pilar de la Horadada";17;;;;" 37°51'55.38""";"  0°47'33.03""";-0
"Comunidad Valenciana";"Alicante";3;6;"Pinoso";613;;;;" 38°24'4.03""";"  1° 2'29.68""";-0
"Comunidad Valenciana";"Alicante";3;18;"Planes";439;;;;" 38°47'7.80""";"  0°20'40.32""";-0
"Comunidad Valenciana";"Alicante";3;3;"Vila Joiosa";32;;;;" 38°30'27.90""";"  0°13'57.41""";-0
"Comunidad Valenciana";"Alicante";3;19;"Villena";573;;;;" 38°38'10.85""";"  0°51'58.10""";-0
"Comunidad Valenciana";"Castellón";12;4;"Benicarló";15;;;;" 40°25'7.34""";"  0°25'23.17""";0
"Comunidad Valenciana";"Castellón";12;6;"Burriana";17;;;;" 39°53'23.53""";"  0° 5'1.30""";-0
"Comunidad Valenciana";"Castellón";12;5;"Castelló Benadresa";178;;;;" 40° 0'56.80""";"  0° 8'6.86""";-0
"Comunidad Valenciana";"Castellón";12;8;"Nules";17;;;;" 39°51'9.33""";"  0° 9'30.62""";-0
"Comunidad Valenciana";"Castellón";12;10;"Onda";192;;;;" 39°57'55.08""";"  0°15'45.53""";-0
"Comunidad Valenciana";"Castellón";12;7;"Ribera de Cabanes";8;;;;" 40° 8'7.25""";"  0° 8'55.35""";0
"Comunidad Valenciana";"Castellón";12;3;"San Rafael del Río";246;;;;" 40°36'22.69""";"  0°20'59.62""";0
"Comunidad Valenciana";"Castellón";12;9;"Segorbe";340;;;;" 39°51'11.79""";"  0°29'5.98""";-0
"Comunidad Valenciana";"Castellón";12;1;"Vall d`Uixó";120;;;;" 39°49'23.99""";"  0°13'57.22""";-0
"Comunidad Valenciana";"Castellón";12;101;"Vila-real EEA";44;;;;" 39°56'18.07""";"  0° 6'6.58""";-0
"Comunidad Valenciana";"Valencia";46;14;"Algemesí";24;;;;" 39°11'37.92""";"  0°26'5.13""";-0
"Comunidad Valenciana";"Valencia";46;10;"Benavites";36;;;;" 39°44'25.94"" ";"0°15'26.49""";-0
"Comunidad Valenciana";"Valencia";46;4;"Benifaió";19;;;;"39°17'6.88""";" 0°25'37.48""";-0
"Comunidad Valenciana";"Valencia";46;16;"Bétera";121;;;;"39°35'18.54""";" 0°27'31.91""";-0
"Comunidad Valenciana";"Valencia";46;25;"Bolbaite";270;;;;" 39° 3'45.60""";"  0°40'28.60""";-0
"Comunidad Valenciana";"Valencia";46;21;"Campo Arcís";587;;;;" 39°25'55.20""";"  1°10'2.82""";-0
"Comunidad Valenciana";"Valencia";46;10;"Carcaixent EEA";25;;;;" 39° 7'16.40""";"  0°26'58.86""";-0
"Comunidad Valenciana";"Valencia";46;1020;"Carcaixent EEA Invernadero";25;;;;" 39° 7'16.40""";"  0°26'58.86""";-0
"Comunidad Valenciana";"Valencia";46;103;"Carlet CE Coop";51;;;;" 39°13'39.76""";"  0°31'23.26""";-0
"Comunidad Valenciana";"Valencia";46;1030;"Carlet malla";51;;;;" 39°13'39.76""";"  0°31'23.26""";-0
"Comunidad Valenciana";"Valencia";46;5;"Cheste";225;;;;" 39°29'42.39""";"  0°41'4.20""";-0
"Comunidad Valenciana";"Valencia";46;27;"Chulilla";523;;;;" 39°39'22.73""";"  0°53'30.72""";-0
"Comunidad Valenciana";"Valencia";46;23;"Gandia Marxuquera";102;;;;" 38°58'5.84""";"  0°14'51.54""";-0
"Comunidad Valenciana";"Valencia";46;2;"Llíria";178;;;;" 39°37'28.50""";"  0°35'41.13""";-0
"Comunidad Valenciana";"Valencia";46;104;"Llutxent EEA";297;;;;" 38°56'33.57""";"  0°21'23.97""";-0
"Comunidad Valenciana";"Valencia";46;107;"Manises";108;;;;" 39°29'26.64"" ";"0°27'21.18""";-0
"Comunidad Valenciana";"Valencia";46;101;"Moncada IVIA";34;;;;" 39°32'43.95""";"  0°23'36.46""";-0
"Comunidad Valenciana";"Valencia";46;1010;"Moncada malla";34;;;;" 39°32'43.95""";"  0°23'36.46""";-0
"Comunidad Valenciana";"Valencia";46;18;"Montesa";255;;;;" 38°56'58.83""";"  0°39'3.97""";-0
"Comunidad Valenciana";"Valencia";46;13;"Navarrés";253;;;;" 39° 6'4.35""";" 0°41'37.28""";-0
"Comunidad Valenciana";"Valencia";46;1;"Pedralba";201;;;;" 39°36'17.45""";"  0°43'35.50""";-0
"Comunidad Valenciana";"Valencia";46;17;"Picassent";47;;;;" 39°21'36.00""";"  0°27'45.46""";-0
"Comunidad Valenciana";"Valencia";46;12;"Pobla del Duc";240;;;;" 38°54'12.53""";" 0°25'2.49""";-0
"Comunidad Valenciana";"Valencia";46;24;"Polinyá de Xúquer";11;;;;" 39°11'45.84""";"  0°22'10.63""";-0
"Comunidad Valenciana";"Valencia";46;11;"Puig";46;;;;" 39°35'24.55""";" 0°18'7.55""";-0
"Comunidad Valenciana";"Valencia";46;106;"Requena Cerrito";648;;;;" 39°29'16.36""";"  1° 6'1.16""";-0
"Comunidad Valenciana";"Valencia";46;105;"Requena Roma";648;;;;" 39°29'16.36""";"  1° 6'1.16""";-0
"Comunidad Valenciana";"Valencia";46;20;"Sagunt";51;;;;" 39°40'48.50""";"0°16'41.80""";-0
"Comunidad Valenciana";"Valencia";46;9;"Sagunto";51;;;;" 39°40'48.50""";"0°16'41.80""";-0
"Comunidad Valenciana";"Valencia";46;6;"Tavernes de Valldigna";51;;;;" 39° 4'18.00""";"  0°16'3.77""";-0
"Comunidad Valenciana";"Valencia";46;3;"Turís";277;;;;" 39°23'23.20""";"  0°42'41.08""";-0
"Comunidad Valenciana";"Valencia";46;22;"Villalonga";132;;;;" 38°53'5.54""";"  0°12'33.71""";-0
"Comunidad Valenciana";"Valencia";46;7;"Villanueva de Castellón";34;;;;" 39° 4'46.35""";"  0°30'50.98""";-0
"Comunidad Valenciana";"Valencia";46;8;"Xàtiva";115;;;;" 38°59'19.93""";"  0°30'56.21""";-0
"Comunidad de Madrid";"Madrid";28;3;"Aranjuez";551;;;;" 40° 1'55.53""";"  3°36'11.84""";-0
"Comunidad de Madrid";"Madrid";28;2;"Arganda";648;;;;" 40°18'3.42""";"  3°26'17.09""";-0
"Comunidad de Madrid";"Madrid";28;6;"Chinchón";749;;;;" 40° 8'24.68""";"3°24'56.46""";-0
"Comunidad de Madrid";"Madrid";28;4;"Fuentidueña de Tajo";559;;;;" 40° 7'5.49""";"  3° 9'34.38""";-0
"Comunidad de Madrid";"Madrid";28;5;"San Martín de la Vega";515;;;;" 40°12'28.07""";"  3°34'6.76""";-0
"Comunidad de Madrid";"Madrid";28;102;"Villa del Prado";513;;;;" 40°16'36.42""";"  4°18'20.31""";-0
